date,link,situation(day),situation(night),temperature(day),temperature(night),wind(day),wind(night)
20160101,http://www.tianqihoubao.com/lishi/xian/20160101.html,霾,霾,12℃,-1℃,东北风≤3级,西南风≤3级
20160102,http://www.tianqihoubao.com/lishi/xian/20160102.html,霾,霾,12℃,-1℃,东北风≤3级,东北风≤3级
20160103,http://www.tianqihoubao.com/lishi/xian/20160103.html,霾,霾,10℃,0℃,东北风≤3级,东风≤3级
20160104,http://www.tianqihoubao.com/lishi/xian/20160104.html,霾,霾,10℃,1℃,东北风≤3级,东北风≤3级
20160105,http://www.tianqihoubao.com/lishi/xian/20160105.html,霾,霾,4℃,-1℃,东北风≤3级,东北风≤3级
20160106,http://www.tianqihoubao.com/lishi/xian/20160106.html,霾,霾,4℃,-2℃,东北风≤3级,东北风≤3级
20160107,http://www.tianqihoubao.com/lishi/xian/20160107.html,霾,多云,4℃,-2℃,东北风≤3级,北风≤3级
20160108,http://www.tianqihoubao.com/lishi/xian/20160108.html,阴,霾,3℃,-3℃,东北风≤3级,东北风≤3级
20160109,http://www.tianqihoubao.com/lishi/xian/20160109.html,霾,阴,4℃,-2℃,东北风≤3级,西南风≤3级
20160110,http://www.tianqihoubao.com/lishi/xian/20160110.html,霾,霾,6℃,-2℃,西南风≤3级,西南风≤3级
20160111,http://www.tianqihoubao.com/lishi/xian/20160111.html,多云,雨夹雪,4℃,0℃,西南风≤3级,西南风≤3级
20160112,http://www.tianqihoubao.com/lishi/xian/20160112.html,小雪,多云,2℃,-3℃,西南风≤3级,东北风≤3级
20160113,http://www.tianqihoubao.com/lishi/xian/20160113.html,晴,霾,4℃,-3℃,东北风≤3级,东北风≤3级
20160114,http://www.tianqihoubao.com/lishi/xian/20160114.html,晴,晴,6℃,-4℃,东北风≤3级,东风≤3级
20160115,http://www.tianqihoubao.com/lishi/xian/20160115.html,晴,多云,8℃,-3℃,东北风≤3级,东北风≤3级
20160116,http://www.tianqihoubao.com/lishi/xian/20160116.html,多云,多云,8℃,-4℃,东北风≤3级,东北风≤3级
20160117,http://www.tianqihoubao.com/lishi/xian/20160117.html,晴,晴,7℃,-2℃,东北风≤3级,东风≤3级
20160118,http://www.tianqihoubao.com/lishi/xian/20160118.html,晴,晴,4℃,-5℃,东北风≤3级,东北风≤3级
20160119,http://www.tianqihoubao.com/lishi/xian/20160119.html,阴,小雪,3℃,-3℃,东北风≤3级,西南风≤3级
20160120,http://www.tianqihoubao.com/lishi/xian/20160120.html,小雪,阴,2℃,-4℃,东北风≤3级,东北风≤3级
20160121,http://www.tianqihoubao.com/lishi/xian/20160121.html,阴,小雪,4℃,-2℃,东风≤3级,北风≤3级
20160122,http://www.tianqihoubao.com/lishi/xian/20160122.html,阴,多云,2℃,-7℃,北风3-4级,西北风3-4级
20160123,http://www.tianqihoubao.com/lishi/xian/20160123.html,晴,晴,1℃,-12℃,西北风≤3级,西风≤3级
20160124,http://www.tianqihoubao.com/lishi/xian/20160124.html,晴,晴,-2℃,-10℃,西风≤3级,东北风≤3级
20160125,http://www.tianqihoubao.com/lishi/xian/20160125.html,晴,晴,2℃,-9℃,西北风≤3级,东北风≤3级
20160126,http://www.tianqihoubao.com/lishi/xian/20160126.html,晴,晴,2℃,-8℃,东北风≤3级,东北风≤3级
20160127,http://www.tianqihoubao.com/lishi/xian/20160127.html,多云,多云,2℃,-4℃,东北风≤3级,东北风≤3级
20160128,http://www.tianqihoubao.com/lishi/xian/20160128.html,多云,多云,5℃,-4℃,西南风≤3级,东北风≤3级
20160129,http://www.tianqihoubao.com/lishi/xian/20160129.html,阴,小雪,6℃,-3℃,西南风≤3级,西南风≤3级
20160130,http://www.tianqihoubao.com/lishi/xian/20160130.html,雨夹雪,雨夹雪,4℃,-2℃,西南风≤3级,东风≤3级
20160131,http://www.tianqihoubao.com/lishi/xian/20160131.html,小雪,阴,2℃,-5℃,西南风≤3级,东北风≤3级
20160601,http://www.tianqihoubao.com/lishi/xian/20160601.html,中雨,中雨,24℃,17℃,东风≤3级,东风≤3级
20160602,http://www.tianqihoubao.com/lishi/xian/20160602.html,小雨,多云,19℃,14℃,西南风≤3级,东风≤3级
20160603,http://www.tianqihoubao.com/lishi/xian/20160603.html,多云,晴,28℃,18℃,东北风≤3级,东北风≤3级
20160604,http://www.tianqihoubao.com/lishi/xian/20160604.html,阴,多云,31℃,21℃,东风≤3级,东风≤3级
20160605,http://www.tianqihoubao.com/lishi/xian/20160605.html,多云,晴,33℃,21℃,东北风≤3级,东风≤3级
20160606,http://www.tianqihoubao.com/lishi/xian/20160606.html,多云,阴,31℃,22℃,东风≤3级,东风≤3级
20160607,http://www.tianqihoubao.com/lishi/xian/20160607.html,阵雨,多云,31℃,20℃,东北风≤3级,东北风≤3级
20160608,http://www.tianqihoubao.com/lishi/xian/20160608.html,阴,多云,31℃,21℃,东风≤3级,东北风≤3级
20160609,http://www.tianqihoubao.com/lishi/xian/20160609.html,阴,多云,32℃,22℃,东北风≤3级,东北风≤3级
20160610,http://www.tianqihoubao.com/lishi/xian/20160610.html,多云,多云,35℃,23℃,东北风≤3级,东北风≤3级
20160611,http://www.tianqihoubao.com/lishi/xian/20160611.html,雷阵雨,阵雨,34℃,22℃,东北风≤3级,东北风≤3级
20160612,http://www.tianqihoubao.com/lishi/xian/20160612.html,多云,晴,32℃,21℃,东风≤3级,东风≤3级
20160613,http://www.tianqihoubao.com/lishi/xian/20160613.html,晴,多云,36℃,22℃,东北风≤3级,东北风≤3级
20160614,http://www.tianqihoubao.com/lishi/xian/20160614.html,多云,多云,31℃,20℃,东北风≤3级,东北风≤3级
20160615,http://www.tianqihoubao.com/lishi/xian/20160615.html,多云,晴,31℃,20℃,东北风≤3级,东北风≤3级
20160616,http://www.tianqihoubao.com/lishi/xian/20160616.html,晴,晴,34℃,22℃,东北风≤3级,东北风≤3级
20160617,http://www.tianqihoubao.com/lishi/xian/20160617.html,晴,多云,37℃,24℃,东北风≤3级,东北风≤3级
20160618,http://www.tianqihoubao.com/lishi/xian/20160618.html,晴,多云,37℃,26℃,东北风≤3级,东北风≤3级
20160619,http://www.tianqihoubao.com/lishi/xian/20160619.html,晴,晴,36℃,26℃,东风≤3级,东北风≤3级
20160620,http://www.tianqihoubao.com/lishi/xian/20160620.html,多云,多云,36℃,27℃,东风≤3级,东风≤3级
20160621,http://www.tianqihoubao.com/lishi/xian/20160621.html,多云,多云,34℃,26℃,东北风≤3级,东北风≤3级
20160622,http://www.tianqihoubao.com/lishi/xian/20160622.html,多云,大雨,35℃,24℃,东风≤3级,东风≤3级
20160623,http://www.tianqihoubao.com/lishi/xian/20160623.html,中到大雨,阴,27℃,20℃,东北风≤3级,东北风≤3级
20160624,http://www.tianqihoubao.com/lishi/xian/20160624.html,多云,多云,28℃,21℃,东风≤3级,东风≤3级
20160625,http://www.tianqihoubao.com/lishi/xian/20160625.html,晴,阴,32℃,21℃,东北风≤3级,东北风≤3级
20160626,http://www.tianqihoubao.com/lishi/xian/20160626.html,阴,多云,31℃,21℃,东风≤3级,东北风≤3级
20160627,http://www.tianqihoubao.com/lishi/xian/20160627.html,多云,晴,33℃,23℃,东风≤3级,东北风≤3级
20160628,http://www.tianqihoubao.com/lishi/xian/20160628.html,晴,晴,35℃,25℃,东北风≤3级,东风≤3级
20160629,http://www.tianqihoubao.com/lishi/xian/20160629.html,晴,多云,37℃,25℃,东北风≤3级,东北风≤3级
20160630,http://www.tianqihoubao.com/lishi/xian/20160630.html,中雨,多云,28℃,24℃,东风≤3级,东风≤3级
20160801,http://www.tianqihoubao.com/lishi/xian/20160801.html,阴,多云,36℃,26℃,东风≤3级,东风≤3级
20160802,http://www.tianqihoubao.com/lishi/xian/20160802.html,多云,多云,34℃,25℃,东风≤3级,东风≤3级
20160803,http://www.tianqihoubao.com/lishi/xian/20160803.html,多云,多云,33℃,25℃,东风≤3级,东风≤3级
20160804,http://www.tianqihoubao.com/lishi/xian/20160804.html,多云,多云,30℃,22℃,东风≤3级,东风≤3级
20160805,http://www.tianqihoubao.com/lishi/xian/20160805.html,阵雨,阴,32℃,24℃,东风≤3级,东风≤3级
20160806,http://www.tianqihoubao.com/lishi/xian/20160806.html,阵雨,阵雨,30℃,23℃,东风≤3级,东风≤3级
20160807,http://www.tianqihoubao.com/lishi/xian/20160807.html,阵雨,阴,30℃,24℃,东风≤3级,东风≤3级
20160808,http://www.tianqihoubao.com/lishi/xian/20160808.html,多云,多云,31℃,24℃,东风≤3级,东风≤3级
20160809,http://www.tianqihoubao.com/lishi/xian/20160809.html,多云,多云,31℃,24℃,东风≤3级,东风≤3级
20160810,http://www.tianqihoubao.com/lishi/xian/20160810.html,多云,多云,34℃,24℃,东风≤3级,东风≤3级
20160811,http://www.tianqihoubao.com/lishi/xian/20160811.html,多云,多云,34℃,25℃,东风≤3级,东风≤3级
20160812,http://www.tianqihoubao.com/lishi/xian/20160812.html,多云,多云,35℃,26℃,东风≤3级,东风≤3级
20160813,http://www.tianqihoubao.com/lishi/xian/20160813.html,多云,多云,37℃,28℃,东北风≤3级,东风≤3级
20160814,http://www.tianqihoubao.com/lishi/xian/20160814.html,晴,多云,37℃,28℃,东风≤3级,东风≤3级
20160815,http://www.tianqihoubao.com/lishi/xian/20160815.html,晴,多云,38℃,29℃,东风≤3级,东风≤3级
20160816,http://www.tianqihoubao.com/lishi/xian/20160816.html,多云,多云,37℃,26℃,东风≤3级,东风≤3级
20160817,http://www.tianqihoubao.com/lishi/xian/20160817.html,多云,晴,38℃,27℃,东风≤3级,东风≤3级
20160818,http://www.tianqihoubao.com/lishi/xian/20160818.html,多云,多云,38℃,28℃,东风≤3级,东风≤3级
20160819,http://www.tianqihoubao.com/lishi/xian/20160819.html,多云,多云,37℃,27℃,东风≤3级,东风≤3级
20160820,http://www.tianqihoubao.com/lishi/xian/20160820.html,多云,多云,35℃,26℃,东风≤3级,东风≤3级
20160821,http://www.tianqihoubao.com/lishi/xian/20160821.html,多云,晴,36℃,26℃,东风≤3级,东风≤3级
20160822,http://www.tianqihoubao.com/lishi/xian/20160822.html,晴,多云,35℃,25℃,东风≤3级,东风≤3级
20160823,http://www.tianqihoubao.com/lishi/xian/20160823.html,晴,多云,35℃,26℃,东风≤3级,东北风≤3级
20160824,http://www.tianqihoubao.com/lishi/xian/20160824.html,多云,中雨,35℃,25℃,东风≤3级,东风≤3级
20160825,http://www.tianqihoubao.com/lishi/xian/20160825.html,小到中雨,阴,27℃,20℃,东北风≤3级,东风≤3级
20160826,http://www.tianqihoubao.com/lishi/xian/20160826.html,阴,多云,24℃,21℃,东风≤3级,东风≤3级
20160827,http://www.tianqihoubao.com/lishi/xian/20160827.html,晴,晴,27℃,18℃,东风≤3级,东北风≤3级
20160828,http://www.tianqihoubao.com/lishi/xian/20160828.html,晴,多云,31℃,19℃,东风≤3级,东风≤3级
20160829,http://www.tianqihoubao.com/lishi/xian/20160829.html,阴,阴,29℃,20℃,东风≤3级,东北风≤3级
20160830,http://www.tianqihoubao.com/lishi/xian/20160830.html,多云,多云,28℃,20℃,东风≤3级,东北风≤3级
20160831,http://www.tianqihoubao.com/lishi/xian/20160831.html,多云,晴,31℃,20℃,东北风≤3级,东北风≤3级
20160901,http://www.tianqihoubao.com/lishi/xian/20160901.html,晴,晴,33℃,20℃,东北风≤3级,东北风≤3级
20160902,http://www.tianqihoubao.com/lishi/xian/20160902.html,晴,多云,33℃,21℃,东风≤3级,东风≤3级
20160903,http://www.tianqihoubao.com/lishi/xian/20160903.html,阴,阴,30℃,21℃,东北风≤3级,东北风≤3级
20160904,http://www.tianqihoubao.com/lishi/xian/20160904.html,多云,多云,31℃,22℃,东风≤3级,东风≤3级
20160905,http://www.tianqihoubao.com/lishi/xian/20160905.html,阴,阴,29℃,22℃,东风≤3级,东风≤3级
20160906,http://www.tianqihoubao.com/lishi/xian/20160906.html,阴,多云,26℃,16℃,东风≤3级,东风≤3级
20160907,http://www.tianqihoubao.com/lishi/xian/20160907.html,多云,晴,31℃,17℃,东风≤3级,东风≤3级
20160908,http://www.tianqihoubao.com/lishi/xian/20160908.html,晴,多云,32℃,20℃,东北风≤3级,东风≤3级
20160909,http://www.tianqihoubao.com/lishi/xian/20160909.html,小雨,多云,28℃,19℃,东风≤3级,东风≤3级
20160910,http://www.tianqihoubao.com/lishi/xian/20160910.html,晴,晴,32℃,17℃,东风≤3级,东风≤3级
20160911,http://www.tianqihoubao.com/lishi/xian/20160911.html,多云,多云,31℃,19℃,东风≤3级,东北风≤3级
20160912,http://www.tianqihoubao.com/lishi/xian/20160912.html,阴,小雨,26℃,18℃,东风≤3级,西南风≤3级
20160913,http://www.tianqihoubao.com/lishi/xian/20160913.html,阵雨,阴,27℃,19℃,东北风≤3级,东风≤3级
20160914,http://www.tianqihoubao.com/lishi/xian/20160914.html,小雨,小雨,26℃,19℃,东北风≤3级,东风≤3级
20160915,http://www.tianqihoubao.com/lishi/xian/20160915.html,阵雨,多云,28℃,19℃,东风≤3级,东风≤3级
20160916,http://www.tianqihoubao.com/lishi/xian/20160916.html,多云,多云,29℃,20℃,东风≤3级,东北风≤3级
20160917,http://www.tianqihoubao.com/lishi/xian/20160917.html,阴,阴,29℃,21℃,西南风≤3级,东风≤3级
20160918,http://www.tianqihoubao.com/lishi/xian/20160918.html,小雨,小到中雨,22℃,19℃,东北风≤3级,东风≤3级
20160919,http://www.tianqihoubao.com/lishi/xian/20160919.html,中雨,小雨,20℃,17℃,东风≤3级,西南风≤3级
20160920,http://www.tianqihoubao.com/lishi/xian/20160920.html,阴,阴,24℃,16℃,东风≤3级,东风≤3级
20160921,http://www.tianqihoubao.com/lishi/xian/20160921.html,多云,晴,27℃,15℃,东风≤3级,东风≤3级
20160922,http://www.tianqihoubao.com/lishi/xian/20160922.html,多云,多云,28℃,16℃,东北风≤3级,东北风≤3级
20160923,http://www.tianqihoubao.com/lishi/xian/20160923.html,多云,阴,27℃,19℃,东风≤3级,东风≤3级
20160924,http://www.tianqihoubao.com/lishi/xian/20160924.html,小雨,阴,25℃,17℃,西南风≤3级,西南风≤3级
20160925,http://www.tianqihoubao.com/lishi/xian/20160925.html,多云,小雨,25℃,19℃,东北风≤3级,东风≤3级
20160926,http://www.tianqihoubao.com/lishi/xian/20160926.html,小雨,小雨,24℃,18℃,东风≤3级,东风≤3级
20160927,http://www.tianqihoubao.com/lishi/xian/20160927.html,小雨,小雨,23℃,16℃,东风≤3级,东风≤3级
20160928,http://www.tianqihoubao.com/lishi/xian/20160928.html,阴,阴,24℃,15℃,东风≤3级,东风≤3级
20160929,http://www.tianqihoubao.com/lishi/xian/20160929.html,多云,多云,21℃,15℃,东风≤3级,东北风≤3级
20160930,http://www.tianqihoubao.com/lishi/xian/20160930.html,晴,多云,25℃,16℃,东北风≤3级,东北风≤3级
20160701,http://www.tianqihoubao.com/lishi/xian/20160701.html,多云,晴,36℃,24℃,东风≤3级,东风≤3级
20160702,http://www.tianqihoubao.com/lishi/xian/20160702.html,多云,多云,36℃,24℃,东风≤3级,东北风≤3级
20160703,http://www.tianqihoubao.com/lishi/xian/20160703.html,多云,多云,36℃,23℃,东北风≤3级,东风≤3级
20160704,http://www.tianqihoubao.com/lishi/xian/20160704.html,晴,晴,36℃,24℃,东风≤3级,东风≤3级
20160705,http://www.tianqihoubao.com/lishi/xian/20160705.html,晴,晴,35℃,24℃,东北风≤3级,东北风≤3级
20160706,http://www.tianqihoubao.com/lishi/xian/20160706.html,多云,多云,33℃,25℃,东北风≤3级,东风≤3级
20160707,http://www.tianqihoubao.com/lishi/xian/20160707.html,阴,阴,31℃,25℃,东风≤3级,东风≤3级
20160708,http://www.tianqihoubao.com/lishi/xian/20160708.html,阵雨,多云,34℃,28℃,东风≤3级,东风≤3级
20160709,http://www.tianqihoubao.com/lishi/xian/20160709.html,多云,多云,36℃,27℃,东北风≤3级,东北风≤3级
20160710,http://www.tianqihoubao.com/lishi/xian/20160710.html,阵雨,小雨,33℃,25℃,东风≤3级,东风≤3级
20160711,http://www.tianqihoubao.com/lishi/xian/20160711.html,阴,多云,32℃,25℃,东风≤3级,东风≤3级
20160712,http://www.tianqihoubao.com/lishi/xian/20160712.html,阴,小雨,30℃,23℃,东北风≤3级,东北风≤3级
20160713,http://www.tianqihoubao.com/lishi/xian/20160713.html,小雨,小到中雨,30℃,21℃,东风≤3级,东风≤3级
20160714,http://www.tianqihoubao.com/lishi/xian/20160714.html,中雨,多云,24℃,18℃,东北风≤3级,东风≤3级
20160715,http://www.tianqihoubao.com/lishi/xian/20160715.html,晴,晴,33℃,22℃,东风≤3级,东北风≤3级
20160716,http://www.tianqihoubao.com/lishi/xian/20160716.html,晴,多云,36℃,23℃,东北风≤3级,东北风≤3级
20160717,http://www.tianqihoubao.com/lishi/xian/20160717.html,多云,阴,35℃,24℃,东风≤3级,东风≤3级
20160718,http://www.tianqihoubao.com/lishi/xian/20160718.html,小雨,中雨,31℃,23℃,东风≤3级,东风≤3级
20160719,http://www.tianqihoubao.com/lishi/xian/20160719.html,小到中雨,多云,30℃,22℃,东风≤3级,东风≤3级
20160720,http://www.tianqihoubao.com/lishi/xian/20160720.html,多云,多云,33℃,24℃,东风≤3级,东北风≤3级
20160721,http://www.tianqihoubao.com/lishi/xian/20160721.html,多云,晴,35℃,25℃,东风≤3级,东风≤3级
20160722,http://www.tianqihoubao.com/lishi/xian/20160722.html,多云,阴,34℃,24℃,东风≤3级,东风≤3级
20160723,http://www.tianqihoubao.com/lishi/xian/20160723.html,多云,多云,34℃,26℃,东北风≤3级,东风≤3级
20160724,http://www.tianqihoubao.com/lishi/xian/20160724.html,多云,阵雨,36℃,25℃,东风≤3级,东风≤3级
20160725,http://www.tianqihoubao.com/lishi/xian/20160725.html,小雨,阴,30℃,23℃,东风≤3级,东北风≤3级
20160726,http://www.tianqihoubao.com/lishi/xian/20160726.html,小雨,小到中雨,30℃,24℃,东风≤3级,东风≤3级
20160727,http://www.tianqihoubao.com/lishi/xian/20160727.html,多云,晴,35℃,24℃,东风≤3级,东风≤3级
20160728,http://www.tianqihoubao.com/lishi/xian/20160728.html,晴,晴,37℃,25℃,东北风≤3级,东北风≤3级
20160729,http://www.tianqihoubao.com/lishi/xian/20160729.html,多云,晴,36℃,26℃,东风≤3级,东风≤3级
20160730,http://www.tianqihoubao.com/lishi/xian/20160730.html,多云,阵雨,34℃,26℃,东风≤3级,东风≤3级
20160731,http://www.tianqihoubao.com/lishi/xian/20160731.html,阵雨,多云,34℃,24℃,东风≤3级,东风≤3级
20161001,http://www.tianqihoubao.com/lishi/xian/20161001.html,晴,晴,27℃,16℃,东北风≤3级,东风≤3级
20161002,http://www.tianqihoubao.com/lishi/xian/20161002.html,晴,晴,30℃,17℃,东风≤3级,东风≤3级
20161003,http://www.tianqihoubao.com/lishi/xian/20161003.html,多云,多云,30℃,17℃,东风≤3级,东风≤3级
20161004,http://www.tianqihoubao.com/lishi/xian/20161004.html,多云,多云,23℃,15℃,东风≤3级,东风≤3级
