date,link,situation,temperature,wind
2016年04月01日,http://www.tianqihoubao.com/lishi/xian/20160401.html,多云/多云,26℃/15℃,东北风≤3级/东风≤3级
2016年04月02日,http://www.tianqihoubao.com/lishi/xian/20160402.html,阴/小雨,27℃/14℃,东北风≤3级/东风≤3级
2016年04月03日,http://www.tianqihoubao.com/lishi/xian/20160403.html,小雨/小雨,18℃/11℃,东风≤3级/东风≤3级
2016年04月04日,http://www.tianqihoubao.com/lishi/xian/20160404.html,阴/小雨,14℃/11℃,东风≤3级/东风≤3级
2016年04月05日,http://www.tianqihoubao.com/lishi/xian/20160405.html,小雨/小雨,17℃/12℃,西南风≤3级/西南风≤3级
2016年04月06日,http://www.tianqihoubao.com/lishi/xian/20160406.html,小雨/多云,18℃/11℃,东风≤3级/东风≤3级
2016年04月07日,http://www.tianqihoubao.com/lishi/xian/20160407.html,多云/多云,21℃/13℃,东北风≤3级/东北风≤3级
2016年04月08日,http://www.tianqihoubao.com/lishi/xian/20160408.html,多云/阴,21℃/11℃,东风≤3级/东风≤3级
2016年04月09日,http://www.tianqihoubao.com/lishi/xian/20160409.html,阴/阴,23℃/13℃,东北风≤3级/东风≤3级
2016年04月10日,http://www.tianqihoubao.com/lishi/xian/20160410.html,多云/阴,27℃/14℃,西南风≤3级/西南风≤3级
2016年04月11日,http://www.tianqihoubao.com/lishi/xian/20160411.html,小雨/多云,23℃/15℃,西南风≤3级/东北风≤3级
2016年04月12日,http://www.tianqihoubao.com/lishi/xian/20160412.html,多云/多云,25℃/15℃,东风≤3级/东风≤3级
2016年04月13日,http://www.tianqihoubao.com/lishi/xian/20160413.html,多云/阴,25℃/13℃,东风≤3级/东风≤3级
2016年04月14日,http://www.tianqihoubao.com/lishi/xian/20160414.html,阴/小到中雨,23℃/14℃,东风≤3级/东风≤3级
2016年04月15日,http://www.tianqihoubao.com/lishi/xian/20160415.html,小到中雨/阴,19℃/12℃,东风≤3级/东风≤3级
2016年04月16日,http://www.tianqihoubao.com/lishi/xian/20160416.html,多云/阴,21℃/9℃,东风≤3级/东风≤3级
2016年04月17日,http://www.tianqihoubao.com/lishi/xian/20160417.html,晴/晴,24℃/9℃,东风≤3级/东风≤3级
2016年04月18日,http://www.tianqihoubao.com/lishi/xian/20160418.html,晴/晴,26℃/12℃,东北风≤3级/东北风≤3级
2016年04月19日,http://www.tianqihoubao.com/lishi/xian/20160419.html,小雨/小雨,26℃/13℃,西南风≤3级/西南风≤3级
2016年04月20日,http://www.tianqihoubao.com/lishi/xian/20160420.html,多云/晴,28℃/13℃,东北风≤3级/东北风≤3级
2016年04月21日,http://www.tianqihoubao.com/lishi/xian/20160421.html,多云/多云,28℃/13℃,东北风≤3级/东风≤3级
2016年04月22日,http://www.tianqihoubao.com/lishi/xian/20160422.html,小雨/小雨,28℃/14℃,东风≤3级/东北风≤3级
2016年04月23日,http://www.tianqihoubao.com/lishi/xian/20160423.html,小雨/阴,22℃/15℃,东风≤3级/东风≤3级
2016年04月24日,http://www.tianqihoubao.com/lishi/xian/20160424.html,多云/多云,24℃/14℃,东风≤3级/东风≤3级
2016年04月25日,http://www.tianqihoubao.com/lishi/xian/20160425.html,小雨/小雨,24℃/15℃,东风≤3级/东风≤3级
2016年04月26日,http://www.tianqihoubao.com/lishi/xian/20160426.html,多云/多云,25℃/16℃,东风≤3级/东北风≤3级
2016年04月27日,http://www.tianqihoubao.com/lishi/xian/20160427.html,晴/多云,29℃/15℃,东北风≤3级/东北风≤3级
2016年04月28日,http://www.tianqihoubao.com/lishi/xian/20160428.html,晴/晴,29℃/14℃,东北风≤3级/东北风≤3级
2016年04月29日,http://www.tianqihoubao.com/lishi/xian/20160429.html,多云/多云,30℃/15℃,东北风≤3级/东北风≤3级
